pond_id,culture_system,water_source,aeration_class,stocking_density_class,water_temperature_c,ph,do_min_night_mg_l,do_max_day_mg_l,salinity_ppt,ammonia_mg_l,nitrite_mg_l,alkalinity_mg_l,turbidity_index,avg_body_weight_g,biomass_density_kg_m2,feed_input_kg_day,fcr,survival_pct,daily_mortality_count,behavioral_stress_index,gut_condition_score,molting_irregularity_flag,growth_deviation_index,disease_risk_level,suspected_condition,treatment_applied,treatment_intensity_class,treatment_response_score,crop_health_status,harvest_viability_flag,economic_risk_index
236,Intensive,Reservoir,Low,High,27.67,8.48,4.15,6.39,24.3,0.113,0.743,135.3,56.1,25.53,1.87,120.3,2.35,84.4,0,1,7,0,0.77,Low,Environmental Stress,Mineral Correction,1,0.58,Failing,1,0.74
249,Intensive,Borewell,High,Low,30.64,8.41,3.16,7.87,12.4,0.482,0.401,151.9,51.1,21.47,0.82,151.4,1.22,94.7,6,2,4,0,1.27,High,Growth Retardation,None,1,0.44,Failing,0,0.48
42,Intensive,Borewell,High,Low,28.07,7.91,3.0,6.11,27.7,0.182,0.551,97.8,24.4,13.3,2.15,63.6,1.49,74.6,2,9,2,0,1.36,Moderate,Multifactorial,Carbon Dosing,2,0.59,Failing,1,0.84
5,Biofloc,Reservoir,Low,High,30.53,7.98,3.01,5.95,27.8,0.05,0.066,155.1,32.8,24.0,0.91,134.1,2.22,72.6,0,9,1,0,1.32,Low,Environmental Stress,Water Exchange,1,0.52,Failing,0,0.84
242,Biofloc,Borewell,Low,Low,26.05,7.97,3.06,7.67,18.3,0.17,0.243,180.0,37.2,20.26,0.7,110.1,1.69,67.8,1,9,5,0,0.74,Low,Parasitic Stress,Probiotic,4,0.97,Failing,0,0.25
147,Biofloc,Borewell,Low,High,29.48,7.74,2.99,6.47,12.2,0.315,0.52,170.5,34.8,15.31,0.67,177.2,1.62,80.0,5,1,4,0,1.25,High,Bacterial Load,Carbon Dosing,2,0.89,Stressed,1,0.55
101,Intensive,Borewell,High,Low,30.23,7.28,2.95,7.98,6.3,0.342,0.057,172.9,20.3,22.2,1.92,74.3,1.15,83.3,2,3,3,0,0.75,Moderate,Parasitic Stress,Mineral Correction,4,0.55,Stable,0,0.67
75,Intensive,Canal,Medium,Low,31.29,7.25,4.75,6.35,28.4,0.448,0.199,111.6,35.6,26.35,0.78,117.4,1.31,65.6,1,3,6,0,1.31,Low,Growth Retardation,Probiotic,3,0.36,Failing,0,0.38
265,Biofloc,Canal,Medium,Low,29.54,7.37,3.7,5.63,12.4,0.088,0.198,178.3,44.5,18.45,1.92,126.3,1.2,84.8,0,9,9,0,0.81,Low,Bacterial Load,Water Exchange,4,0.49,Stable,1,0.46
263,Semi-intensive,Canal,Medium,Low,31.76,7.22,4.27,7.59,11.4,0.17,0.226,80.9,54.9,13.42,1.15,156.6,2.35,65.4,3,9,4,0,0.77,Low,Multifactorial,Mineral Correction,4,0.51,Stressed,0,0.35
194,Intensive,Borewell,Low,Low,31.08,7.66,3.53,5.8,24.9,0.285,0.328,155.6,22.3,15.25,1.26,178.0,1.28,76.2,4,1,8,0,0.99,Low,Bacterial Load,Mineral Correction,1,0.86,Failing,1,0.37
96,Semi-intensive,Reservoir,High,High,29.57,8.42,5.17,6.83,11.5,0.223,0.843,155.1,55.4,12.35,0.99,103.3,1.63,86.6,6,2,8,0,0.74,Moderate,Environmental Stress,None,3,0.97,Failing,0,0.78
35,Biofloc,Reservoir,Low,Medium,28.12,8.06,4.79,6.14,19.5,0.25,0.022,162.7,43.3,18.04,0.87,130.1,1.31,69.7,0,8,6,1,0.95,Low,Bacterial Load,Carbon Dosing,3,0.89,Stressed,1,0.35
103,Semi-intensive,Reservoir,Low,High,31.58,7.5,3.73,7.29,11.7,0.151,0.721,110.1,30.0,14.69,2.0,120.7,1.9,82.6,5,5,8,0,0.8,Moderate,Growth Retardation,Probiotic,3,0.37,Stressed,0,0.31
49,Biofloc,Borewell,Low,High,27.91,8.13,3.35,7.45,17.8,0.078,0.31,150.6,26.5,14.66,2.01,154.0,1.7,76.6,8,6,3,0,1.37,Moderate,Parasitic Stress,Mineral Correction,3,0.74,Failing,0,0.5
153,Semi-intensive,Canal,Medium,Medium,26.56,7.32,3.39,6.99,9.5,0.281,0.356,130.6,50.4,16.75,1.39,40.4,2.23,78.8,2,4,4,0,1.02,Low,Growth Retardation,Mineral Correction,4,0.58,Stressed,1,0.7
283,Semi-intensive,Canal,Low,High,29.52,7.61,4.41,5.98,27.1,0.394,0.076,112.9,34.6,18.42,1.41,167.9,1.56,77.2,7,9,7,0,1.06,Moderate,Parasitic Stress,Carbon Dosing,1,0.69,Failing,0,0.6
266,Intensive,Borewell,High,Low,29.49,7.63,5.23,7.24,14.5,0.255,0.508,127.9,51.5,24.55,2.0,163.9,2.15,80.1,0,5,9,0,1.15,Low,Parasitic Stress,Water Exchange,2,0.76,Failing,0,0.64
262,Semi-intensive,Reservoir,Low,Medium,28.44,8.3,4.04,7.85,15.1,0.22,0.225,112.7,52.7,20.25,1.64,166.3,1.54,70.3,1,9,2,0,1.06,Low,Growth Retardation,Mineral Correction,4,0.95,Stressed,1,0.43
256,Biofloc,Canal,Low,Medium,31.24,7.38,3.06,7.17,5.1,0.292,0.468,161.4,32.6,15.92,0.96,75.3,1.47,84.8,6,8,2,0,1.19,Moderate,Environmental Stress,Probiotic,4,0.62,Failing,0,0.42
114,Biofloc,Canal,Medium,Medium,28.07,7.45,4.8,6.81,20.7,0.281,0.38,132.9,26.5,12.41,1.07,123.3,2.07,79.8,1,4,5,0,1.36,Low,Multifactorial,Mineral Correction,4,0.4,Stressed,1,0.44
293,Biofloc,Canal,High,Low,30.33,7.48,3.08,6.41,11.7,0.199,0.294,104.1,27.1,8.4,0.7,174.0,2.36,75.3,4,5,6,1,0.97,Low,Growth Retardation,Water Exchange,2,0.73,Stressed,0,0.58
180,Biofloc,Borewell,Low,Medium,28.68,7.75,5.16,5.88,5.8,0.026,0.071,151.6,37.2,26.56,1.0,77.0,1.23,88.6,1,6,8,0,0.7,Low,Multifactorial,Carbon Dosing,2,0.33,Stable,1,0.46
239,Biofloc,Borewell,Medium,Medium,29.09,8.5,3.75,6.67,10.1,0.197,0.379,174.3,21.5,22.11,1.59,169.6,2.09,86.1,0,4,5,0,1.32,Low,Environmental Stress,Mineral Correction,3,0.95,Stable,1,0.33
211,Intensive,Canal,Low,Medium,28.31,8.13,4.35,7.08,15.1,0.134,0.573,107.4,53.0,8.75,1.54,79.6,2.03,76.6,5,5,8,0,0.73,Low,Bacterial Load,Carbon Dosing,1,0.31,Failing,1,0.49
118,Intensive,Canal,Low,Medium,28.87,8.02,5.31,7.91,17.6,0.288,0.443,179.3,45.9,13.2,1.09,152.0,2.38,64.5,7,8,5,0,0.99,Low,Parasitic Stress,Probiotic,4,0.91,Stressed,0,0.35
290,Intensive,Reservoir,High,High,30.8,7.45,2.83,7.57,16.5,0.258,0.043,144.0,48.8,9.09,0.76,160.4,1.34,92.3,2,5,3,0,1.06,Low,Parasitic Stress,Probiotic,1,0.82,Stable,1,0.3
287,Biofloc,Reservoir,Medium,Medium,28.99,8.14,5.48,8.07,25.6,0.254,0.508,154.0,29.2,26.63,1.75,132.8,1.3,67.3,2,9,6,0,1.37,Low,Multifactorial,Water Exchange,2,0.55,Stressed,0,0.82
213,Intensive,Borewell,High,High,26.11,7.61,3.89,6.21,26.8,0.288,0.267,124.0,20.0,21.94,2.07,156.2,1.42,93.5,1,5,1,0,0.86,Low,Parasitic Stress,None,3,0.45,Stressed,0,0.31
122,Semi-intensive,Canal,Low,Low,27.22,7.46,5.3,6.12,6.7,0.273,0.086,93.6,24.6,10.28,1.77,56.8,2.36,74.5,3,7,9,0,1.06,Low,Bacterial Load,Carbon Dosing,4,0.88,Stressed,0,0.83
131,Intensive,Canal,High,Medium,31.0,7.71,5.5,7.57,5.1,0.159,0.393,153.6,45.5,27.12,0.81,125.7,2.27,69.3,8,3,3,0,0.89,Low,Environmental Stress,Mineral Correction,1,0.69,Stable,0,0.81
66,Biofloc,Borewell,Medium,High,31.4,7.29,5.09,6.61,24.0,0.018,0.316,102.4,53.1,23.84,1.32,100.4,2.39,85.5,4,1,8,0,0.75,Low,Parasitic Stress,None,1,0.83,Stressed,0,0.23
21,Biofloc,Reservoir,High,Low,31.08,8.31,4.64,6.53,28.9,0.33,0.313,127.3,38.1,9.0,1.08,165.7,1.28,61.6,0,4,4,0,1.18,Low,Growth Retardation,Water Exchange,3,0.34,Stressed,0,0.31
130,Intensive,Borewell,Low,High,29.66,8.41,3.79,6.96,14.7,0.123,0.33,87.5,45.0,27.39,2.09,82.8,1.99,92.5,8,3,9,0,1.27,Moderate,Environmental Stress,Mineral Correction,3,0.51,Failing,1,0.77
265,Intensive,Borewell,Medium,High,27.88,7.4,4.57,7.02,24.9,0.005,0.684,176.0,36.4,12.66,1.21,167.8,2.07,89.1,6,2,5,0,0.73,Moderate,Bacterial Load,Water Exchange,2,0.93,Stable,1,0.21
30,Intensive,Canal,Medium,Low,30.2,8.31,4.64,7.69,14.3,0.134,0.417,129.3,55.3,19.15,1.63,179.1,1.94,83.5,5,2,1,0,0.98,Low,Bacterial Load,Mineral Correction,4,0.31,Stable,1,0.5
42,Semi-intensive,Borewell,High,Medium,26.99,8.48,5.43,8.04,10.2,0.223,0.64,105.1,49.0,16.12,1.65,158.9,1.55,70.8,4,6,9,0,1.02,Low,Bacterial Load,None,2,0.45,Failing,1,0.4
20,Intensive,Borewell,High,High,27.88,7.5,3.86,7.11,8.1,0.137,0.378,136.6,31.4,23.21,2.04,145.8,1.64,90.3,0,8,2,0,1.17,Low,Bacterial Load,Probiotic,3,0.78,Stressed,1,0.79
257,Semi-intensive,Borewell,High,High,30.18,7.85,5.11,7.9,8.1,0.258,0.512,167.0,28.5,17.7,0.62,75.7,2.01,80.2,1,9,9,0,1.0,Low,Multifactorial,Water Exchange,2,0.52,Stable,1,0.48
51,Biofloc,Borewell,Low,Medium,26.94,8.03,5.21,5.65,14.9,0.02,0.079,140.2,29.0,27.1,1.62,132.2,2.34,73.0,7,1,3,0,0.8,Low,Parasitic Stress,Carbon Dosing,3,0.69,Stable,0,0.31
299,Semi-intensive,Reservoir,Medium,Low,30.38,7.25,2.93,6.04,12.0,0.224,0.185,97.2,22.6,9.47,1.24,95.4,1.69,90.5,5,5,6,0,0.79,Low,Multifactorial,Mineral Correction,2,0.36,Failing,0,0.52
221,Biofloc,Canal,Medium,Medium,28.67,8.08,5.43,6.93,11.3,0.382,0.503,168.7,59.4,21.17,1.16,94.2,1.91,93.9,1,5,6,1,0.87,Moderate,Multifactorial,None,4,0.8,Stressed,1,0.39
107,Semi-intensive,Borewell,High,Medium,31.45,7.65,5.37,7.16,24.4,0.369,0.027,149.6,49.5,9.57,0.64,165.4,1.76,85.7,10,3,3,1,0.86,Moderate,Parasitic Stress,Carbon Dosing,4,0.4,Stressed,0,0.5
146,Intensive,Borewell,High,Low,26.12,7.6,4.13,7.0,11.5,0.217,0.597,106.6,44.1,9.91,1.38,167.1,2.09,83.2,1,1,7,0,1.28,Low,Bacterial Load,Mineral Correction,2,0.45,Stressed,1,0.25
144,Biofloc,Borewell,High,High,30.15,7.64,4.98,5.71,8.9,0.242,0.365,111.8,50.6,8.55,1.44,76.6,2.19,84.8,3,3,4,0,1.27,Low,Environmental Stress,Mineral Correction,4,0.31,Failing,0,0.32
172,Intensive,Reservoir,High,High,27.22,8.21,3.19,7.86,15.6,0.255,0.466,114.8,56.4,23.95,1.3,155.7,1.44,85.7,7,1,1,1,0.78,Moderate,Bacterial Load,None,3,0.8,Stable,0,0.79
281,Biofloc,Borewell,Low,Low,29.93,7.74,5.24,7.96,26.1,0.236,0.295,169.3,59.6,11.31,1.56,159.9,2.25,75.1,5,9,9,0,1.19,Low,Multifactorial,None,4,0.99,Stressed,1,0.57
157,Semi-intensive,Borewell,High,High,28.79,8.0,4.23,6.76,16.2,0.157,0.146,84.0,26.8,10.29,1.93,116.1,2.38,76.2,8,6,2,0,1.4,Low,Environmental Stress,Mineral Correction,3,0.84,Failing,0,0.61
46,Semi-intensive,Borewell,High,Medium,29.57,7.92,4.36,5.8,11.6,0.36,0.236,133.2,32.7,22.52,0.72,43.3,2.04,87.2,6,2,7,0,1.32,Moderate,Environmental Stress,Mineral Correction,1,0.33,Stressed,1,0.86
135,Intensive,Borewell,Low,Medium,30.49,8.12,3.79,5.83,13.6,0.401,0.142,104.7,32.1,26.69,0.89,79.3,1.5,64.3,0,8,4,0,1.36,Moderate,Growth Retardation,Carbon Dosing,1,0.73,Failing,1,0.25
259,Intensive,Canal,Medium,Medium,31.06,7.96,3.41,5.85,17.7,0.263,0.391,135.9,58.3,13.72,0.63,145.5,1.14,83.3,1,9,1,0,1.12,Low,Growth Retardation,None,4,0.78,Failing,1,0.56
165,Semi-intensive,Reservoir,Low,High,26.75,7.52,3.83,7.31,28.2,0.287,0.541,105.1,25.4,15.75,1.63,116.8,1.86,60.2,6,4,2,0,1.15,High,Growth Retardation,None,1,0.33,Failing,0,0.87
187,Intensive,Borewell,Low,High,30.09,7.21,4.1,6.68,5.3,0.265,0.335,108.6,24.9,22.79,1.46,140.7,2.09,91.3,6,8,7,0,0.76,Low,Growth Retardation,None,1,0.74,Stable,0,0.33
265,Biofloc,Borewell,High,Medium,28.43,7.81,2.92,6.18,23.5,0.116,0.366,151.4,58.8,14.3,1.62,156.2,1.32,80.5,3,3,8,0,1.21,Low,Bacterial Load,None,4,0.59,Failing,1,0.55
172,Semi-intensive,Reservoir,High,Medium,28.47,7.76,4.56,7.05,26.8,0.288,0.1,123.2,43.1,9.4,1.11,164.0,1.32,60.9,7,7,1,0,0.72,Low,Environmental Stress,Carbon Dosing,3,0.78,Stable,0,0.44
13,Semi-intensive,Canal,Low,Medium,29.0,8.23,4.08,8.11,18.7,0.319,0.248,106.3,55.3,10.17,1.41,112.2,1.94,77.7,6,3,9,0,0.91,Moderate,Multifactorial,Mineral Correction,3,0.56,Stable,1,0.68
258,Biofloc,Reservoir,Medium,Medium,30.98,8.48,3.04,6.62,19.6,0.19,0.451,130.4,30.8,19.52,0.78,88.3,1.68,92.4,6,9,1,0,1.2,Moderate,Environmental Stress,Water Exchange,1,0.71,Stable,0,0.4
214,Semi-intensive,Borewell,Medium,High,30.12,7.97,4.54,7.81,29.4,0.247,0.387,133.4,38.2,11.71,1.48,159.1,1.24,72.4,0,1,6,1,0.77,Low,Multifactorial,None,2,0.96,Stable,1,0.64
298,Intensive,Borewell,Low,Low,27.23,7.93,3.92,5.7,20.5,0.138,0.449,97.3,58.8,13.66,1.44,128.5,1.38,93.5,0,6,3,0,1.13,Low,Multifactorial,Water Exchange,4,0.41,Stressed,1,0.47
192,Intensive,Canal,Low,Low,26.89,7.48,3.61,5.93,7.9,0.319,0.277,100.8,34.1,22.37,2.07,140.7,1.67,75.1,1,3,9,0,0.73,Moderate,Parasitic Stress,Water Exchange,1,0.96,Stressed,0,0.78
1,Semi-intensive,Reservoir,Medium,Medium,27.12,8.09,4.18,8.11,29.7,0.16,0.395,94.5,53.7,9.13,0.73,51.7,1.62,69.6,7,2,9,0,0.94,Low,Parasitic Stress,None,1,0.61,Stable,1,0.33
111,Semi-intensive,Reservoir,High,Low,26.2,7.37,4.55,6.27,18.4,0.221,0.147,112.9,47.8,19.92,1.13,104.8,1.41,79.3,2,1,2,1,0.84,Low,Parasitic Stress,None,3,0.78,Failing,0,0.49
78,Biofloc,Canal,Medium,Low,26.06,7.52,4.67,7.9,20.7,0.275,0.17,160.2,30.8,26.73,0.75,177.8,2.27,65.5,4,6,7,0,0.99,Low,Environmental Stress,Probiotic,4,0.56,Stressed,0,0.65
78,Biofloc,Reservoir,Medium,Medium,27.49,7.65,5.31,7.74,22.3,0.221,0.634,81.3,59.8,17.7,1.98,67.0,1.75,82.6,0,7,2,0,1.21,Low,Parasitic Stress,Mineral Correction,4,0.3,Stressed,1,0.87
87,Intensive,Reservoir,High,Medium,27.95,7.38,4.06,6.46,28.3,0.219,0.119,179.7,38.7,11.92,2.03,127.9,1.97,79.2,5,2,6,0,1.22,Low,Bacterial Load,Probiotic,1,0.94,Stressed,1,0.25
141,Semi-intensive,Reservoir,High,High,26.01,8.21,5.11,5.58,19.0,0.018,0.502,116.0,52.0,17.08,1.67,125.5,2.08,60.6,7,9,6,0,1.35,Moderate,Growth Retardation,Carbon Dosing,3,0.6,Stressed,0,0.88
183,Biofloc,Reservoir,Medium,High,28.7,8.4,3.21,6.42,20.7,0.113,0.24,111.9,35.8,25.45,1.52,132.6,1.24,91.9,1,1,4,1,1.22,Low,Growth Retardation,Water Exchange,3,0.79,Stable,0,0.54
288,Intensive,Reservoir,Medium,Medium,30.61,8.37,3.96,5.73,13.7,0.417,0.346,165.6,24.8,11.24,0.61,84.8,1.63,85.3,11,4,4,0,1.27,High,Bacterial Load,Carbon Dosing,3,0.87,Stressed,1,0.24
182,Semi-intensive,Borewell,Low,Medium,27.93,7.97,5.01,8.03,21.2,0.368,0.707,153.0,22.8,8.74,1.73,76.9,2.13,88.7,0,9,3,0,0.78,Moderate,Growth Retardation,Carbon Dosing,3,0.88,Failing,1,0.81
269,Biofloc,Canal,Medium,Low,27.82,8.47,4.93,5.79,23.3,0.159,0.274,118.9,38.0,26.83,1.33,102.2,1.23,92.6,3,4,4,0,1.04,Low,Parasitic Stress,None,2,0.9,Stressed,1,0.25
194,Biofloc,Reservoir,Low,Low,27.3,7.43,3.57,7.52,9.1,0.087,0.173,173.1,54.8,12.54,1.78,99.3,1.78,60.7,6,2,1,0,1.38,Moderate,Environmental Stress,Mineral Correction,3,0.34,Failing,0,0.41
177,Intensive,Canal,Medium,Low,29.79,8.04,5.14,6.52,5.2,0.163,0.584,111.4,40.1,27.75,1.12,122.0,1.61,68.6,0,6,5,0,0.72,Low,Environmental Stress,Carbon Dosing,2,0.82,Failing,1,0.37
212,Semi-intensive,Reservoir,Medium,High,28.34,8.33,5.01,7.35,27.4,0.104,0.413,123.1,52.3,17.08,2.08,163.9,1.31,78.6,4,5,1,0,1.1,Low,Bacterial Load,Water Exchange,4,0.42,Stressed,1,0.57
80,Intensive,Canal,Medium,Medium,26.52,7.52,3.76,7.94,14.4,0.208,0.619,166.8,34.3,23.4,0.68,90.2,2.06,90.0,10,2,4,0,0.93,High,Multifactorial,Mineral Correction,2,0.8,Stable,0,0.81
268,Semi-intensive,Canal,Low,Low,26.62,7.59,3.8,6.55,14.5,0.226,0.311,112.0,50.5,21.17,1.21,71.1,2.37,87.5,8,6,2,0,0.79,Moderate,Environmental Stress,Mineral Correction,4,0.34,Stressed,1,0.28
84,Biofloc,Canal,High,High,27.5,7.34,5.1,5.94,15.6,0.189,0.213,119.1,43.1,25.48,2.08,171.0,1.88,67.7,2,9,7,1,0.74,Low,Bacterial Load,Mineral Correction,3,0.65,Stressed,1,0.52
279,Biofloc,Borewell,Low,High,28.69,8.28,3.97,6.18,8.0,0.349,0.131,147.7,34.4,22.43,0.85,151.7,1.2,88.1,1,9,8,0,1.39,Moderate,Parasitic Stress,Water Exchange,4,0.91,Failing,1,0.79
43,Semi-intensive,Reservoir,High,Medium,30.53,8.1,4.18,6.27,21.6,0.045,0.211,161.3,38.8,26.61,1.0,167.9,2.32,65.7,9,1,6,0,1.19,Low,Parasitic Stress,Carbon Dosing,3,0.41,Stable,1,0.21
97,Semi-intensive,Reservoir,Medium,High,27.01,8.13,3.12,6.98,12.0,0.42,0.26,144.2,26.7,27.17,1.31,104.6,1.23,94.9,5,7,8,0,1.18,Moderate,Multifactorial,Mineral Correction,1,0.81,Stressed,0,0.24
34,Biofloc,Canal,Medium,Low,28.66,7.82,3.38,6.35,7.3,0.273,0.364,134.6,45.2,13.5,0.74,93.1,2.33,83.9,0,2,2,0,0.79,Low,Environmental Stress,Probiotic,2,0.55,Stable,0,0.82
265,Intensive,Borewell,Low,Low,26.14,7.68,4.81,6.75,27.7,0.027,0.708,138.4,43.1,13.62,1.06,69.4,1.45,86.2,5,3,9,0,0.86,Low,Parasitic Stress,Probiotic,2,0.44,Failing,1,0.83
116,Biofloc,Borewell,Low,Medium,31.45,7.93,3.77,7.78,5.6,0.448,0.361,85.4,26.8,12.08,1.08,118.3,1.81,70.7,9,4,9,0,1.3,High,Bacterial Load,None,2,0.68,Stressed,1,0.24
126,Intensive,Canal,Medium,Medium,26.49,8.2,4.78,7.96,25.6,0.275,0.629,117.6,52.5,15.12,1.11,68.3,1.79,66.3,6,5,2,0,0.84,Moderate,Environmental Stress,None,3,0.51,Stressed,0,0.44
46,Biofloc,Borewell,Low,High,26.21,8.09,4.36,5.53,8.7,0.154,0.393,149.7,40.5,13.18,2.0,169.3,2.04,71.6,0,5,3,0,1.12,Low,Bacterial Load,Water Exchange,3,0.87,Stressed,1,0.78
233,Biofloc,Reservoir,Low,High,29.87,7.71,2.88,7.33,17.0,0.032,0.6,168.8,49.5,22.69,0.84,169.8,1.26,86.6,7,2,1,0,0.98,High,Environmental Stress,Carbon Dosing,1,0.77,Stable,1,0.87
236,Intensive,Reservoir,Low,High,28.47,8.35,5.46,5.83,7.0,0.44,0.33,109.8,44.7,24.19,1.62,144.5,1.29,88.1,3,5,3,0,0.89,Low,Bacterial Load,Carbon Dosing,3,0.55,Stable,1,0.39
109,Biofloc,Canal,Low,Low,27.16,7.64,5.42,5.54,15.6,0.163,0.652,113.0,52.9,19.76,1.52,114.3,2.25,76.9,6,3,5,0,0.96,Moderate,Growth Retardation,Carbon Dosing,1,0.75,Stable,1,0.21
211,Intensive,Reservoir,High,High,26.13,8.48,5.18,7.77,13.0,0.301,0.479,83.8,33.8,22.67,1.64,112.4,1.37,85.4,3,5,9,0,1.28,Low,Parasitic Stress,Mineral Correction,3,0.6,Stable,0,0.2
277,Biofloc,Borewell,Medium,High,31.16,7.61,2.85,6.11,10.2,0.112,0.314,153.3,50.8,22.8,1.39,174.2,1.13,78.8,1,3,8,1,1.08,Low,Growth Retardation,Carbon Dosing,4,0.76,Stable,0,0.43
232,Semi-intensive,Canal,Medium,Medium,26.08,8.31,4.93,7.42,12.9,0.176,0.36,111.8,52.0,21.19,0.88,151.0,1.12,94.8,4,7,3,0,1.25,Low,Growth Retardation,None,4,0.58,Stable,1,0.89
149,Semi-intensive,Reservoir,Low,High,28.37,8.24,4.99,5.78,21.3,0.18,0.479,138.3,47.6,27.61,2.05,81.8,2.34,71.8,11,5,6,0,0.71,Low,Growth Retardation,None,4,0.83,Failing,1,0.73
133,Biofloc,Reservoir,Low,Low,29.35,7.61,4.55,6.21,12.5,0.109,0.255,172.7,57.5,15.24,1.25,158.7,1.18,86.5,6,6,5,1,0.88,Low,Parasitic Stress,Water Exchange,2,0.48,Stressed,1,0.46
165,Semi-intensive,Canal,Low,Medium,26.6,7.37,4.74,6.98,10.8,0.206,0.344,144.8,23.2,13.28,1.91,139.3,1.46,82.5,3,2,9,0,1.02,Low,Growth Retardation,Mineral Correction,1,0.91,Stable,1,0.87
137,Biofloc,Reservoir,Low,Medium,27.63,8.35,5.2,5.83,28.8,0.013,0.387,95.5,20.7,10.09,1.34,151.6,1.31,78.8,5,2,7,1,1.38,Low,Growth Retardation,Mineral Correction,3,0.93,Stable,0,0.49
26,Intensive,Borewell,High,Medium,28.26,7.88,3.86,5.92,22.2,0.013,0.601,162.9,29.5,9.1,0.72,82.5,1.21,64.8,8,2,2,0,1.01,High,Growth Retardation,Carbon Dosing,1,0.68,Stable,1,0.62
183,Intensive,Reservoir,High,Low,29.48,8.07,4.04,5.52,10.7,0.194,0.663,97.1,52.0,10.79,1.75,84.9,1.73,81.1,4,8,9,0,1.36,Low,Parasitic Stress,Probiotic,2,0.31,Stressed,0,0.5
149,Intensive,Borewell,Low,High,30.63,7.67,3.17,6.4,25.3,0.121,0.436,83.5,47.2,15.66,1.62,157.5,1.22,71.4,6,2,9,0,0.84,Moderate,Growth Retardation,Water Exchange,4,0.49,Stable,0,0.22
123,Biofloc,Canal,High,Medium,29.51,8.27,4.4,7.14,7.3,0.298,0.422,160.8,40.6,10.81,1.54,111.5,1.98,63.4,7,3,9,0,1.13,Low,Environmental Stress,Probiotic,1,0.95,Stable,0,0.29
244,Biofloc,Canal,Medium,Medium,28.99,7.34,4.31,6.39,9.8,0.326,0.567,98.2,54.0,20.55,1.5,128.3,2.26,94.8,3,2,9,0,1.11,Moderate,Growth Retardation,None,2,0.5,Stable,1,0.3
112,Biofloc,Canal,High,Medium,26.85,7.25,3.11,7.93,21.2,0.146,0.309,141.6,55.7,21.64,1.45,166.3,1.13,92.8,13,7,4,0,1.23,Moderate,Growth Retardation,Probiotic,3,0.4,Stable,0,0.33
36,Biofloc,Borewell,Medium,Medium,26.1,7.48,3.22,6.16,25.2,0.264,0.648,175.0,22.1,19.73,1.52,56.0,2.05,90.5,4,1,7,1,0.83,Moderate,Environmental Stress,Probiotic,1,0.66,Stable,0,0.2
72,Biofloc,Canal,Low,High,31.74,8.22,4.81,6.69,25.7,0.195,0.555,114.9,30.3,20.82,1.4,57.5,1.12,63.6,7,3,9,0,1.17,Moderate,Multifactorial,Water Exchange,4,0.52,Failing,1,0.56
162,Intensive,Borewell,Low,Medium,28.28,7.23,5.35,7.1,11.3,0.278,0.431,117.0,57.4,9.96,0.76,177.3,1.93,91.9,6,7,2,0,0.72,Low,Growth Retardation,Probiotic,1,0.61,Failing,0,0.76
120,Intensive,Borewell,Medium,Low,31.25,8.33,4.72,6.85,19.2,0.384,0.301,157.5,26.4,16.04,1.88,97.4,2.0,65.5,5,6,7,0,1.02,Low,Environmental Stress,None,4,0.37,Stable,0,0.7
129,Semi-intensive,Borewell,High,Low,31.19,7.3,3.68,5.74,10.0,0.094,0.246,113.6,42.0,9.16,1.74,121.7,2.3,63.7,3,5,2,0,0.79,Low,Parasitic Stress,Carbon Dosing,3,0.54,Failing,0,0.39
229,Intensive,Canal,High,High,27.21,7.84,3.05,6.88,7.5,0.516,0.436,83.5,51.5,18.02,0.77,74.3,2.09,79.4,4,6,2,0,0.74,Moderate,Growth Retardation,Carbon Dosing,4,0.91,Stable,0,0.75
89,Intensive,Borewell,High,Low,29.97,8.27,3.37,7.51,26.6,0.306,0.684,150.8,49.5,27.08,0.63,60.8,1.97,81.8,4,9,1,0,1.09,High,Multifactorial,Probiotic,3,0.36,Stressed,0,0.58
195,Biofloc,Borewell,Medium,High,31.36,7.7,3.57,6.59,6.4,0.042,0.515,105.7,36.8,14.26,1.33,81.8,1.99,68.5,0,9,6,0,1.13,Moderate,Bacterial Load,None,1,0.66,Stressed,1,0.88
172,Semi-intensive,Reservoir,High,Low,30.48,8.36,5.17,6.82,29.8,0.078,0.52,98.0,22.2,22.62,2.05,134.4,2.24,85.2,6,7,3,0,1.18,Moderate,Parasitic Stress,Carbon Dosing,4,0.87,Stressed,0,0.43
133,Semi-intensive,Canal,High,Medium,28.67,7.43,3.93,6.85,25.2,0.303,0.588,139.3,50.3,20.0,2.18,73.3,1.63,64.2,1,9,4,0,1.16,High,Bacterial Load,Mineral Correction,1,0.72,Stable,0,0.55
247,Semi-intensive,Borewell,Low,Medium,26.09,8.05,5.06,7.31,13.4,0.322,0.508,156.6,49.7,20.77,1.71,54.3,2.34,82.1,4,9,1,0,0.87,Moderate,Growth Retardation,Water Exchange,1,0.96,Failing,0,0.6
235,Biofloc,Borewell,High,Medium,28.96,8.3,3.63,6.9,21.5,0.225,0.311,149.9,34.6,20.88,1.43,142.6,1.84,77.6,2,9,8,0,1.33,Low,Growth Retardation,Mineral Correction,1,0.39,Failing,0,0.8
